timestamp,model_label,model_kind,prompt_id,mode,latency_sec,generated_tokens,tokens_per_sec,vram_mb,accuracy,prompt_preview,output_text
2026-03-19 19:33:52,fine_tuned_model,fine_tuned,qa_1,streaming,9.2879,18,1.938,,0.0,"What is the likely diagnosis in a patient with fever, productive cough, and lobar consolidation on chest X-ray?","The likely diagnosis in a patient with fever, productive cough, and lobar consolidation on chest X-ray is tuberculosis."
2026-03-19 19:34:16,fine_tuned_model,fine_tuned,qa_1,batch,7.9529,21,2.8082,,1.0,"What is the likely diagnosis in a patient with fever, productive cough, and lobar consolidation on chest X-ray?","`|system|adultraisedemaciation

The most common cause of pneumonia, and most common cause of pneumonia?
The most common cause of pneumonia is pneumonia."
2026-03-19 19:34:16,fine_tuned_model,fine_tuned,reasoning_1,batch,7.9529,36,2.8082,,0.0,A patient has unilateral leg swelling after a long flight and suddenly develops neurological deficits. What cardiac find,The cardiacogenication is a condition that is characterized by a cardiacogenic ischemication ischemic ischemic ischemic ischemic ischemic ischemic ischemic ischemic ischemic ischemic ischemic ischemic ischemic ischemic ischemic ischemic ischemic ischemic ischemic ischemic ischemic ischemic ischemic ischem
2026-03-19 19:34:16,fine_tuned_model,fine_tuned,extraction_1,batch,7.9529,10,2.8082,,0.6,"Patient John Doe, age 56, has diabetes mellitus and hypertension and was prescribed metformin 500 mg.","John Doe, age 56, is prescribed 500 mg of metformin."
2026-03-19 19:34:19,quantized_gguf_model,gguf,qa_1,single,2.1337,32,14.9974,,0.0,"What is the likely diagnosis in a patient with fever, productive cough, and lobar consolidation on chest X-ray?","The likely diagnosis in a patient with fever, productive cough, and lobar consolidation on X-ray is tuberculosis."
2026-03-19 19:34:23,quantized_gguf_model,gguf,reasoning_1,single,3.4025,19,5.5841,,0.0,A patient has unilateral leg swelling after a long flight and suddenly develops neurological deficits. What cardiac find,The patient's neurological deficiits are most likely due to a cardiac finding.
2026-03-19 19:34:24,quantized_gguf_model,gguf,extraction_1,single,1.875,21,11.2002,,0.6,"Patient John Doe, age 56, has diabetes mellitus and hypertension and was prescribed metformin 500 mg.","The key entities are diabetes mellitus, hypertension, and metformin."
2026-03-19 19:34:26,quantized_gguf_model,gguf,qa_1,streaming,1.459,17,11.652,,0.0,"What is the likely diagnosis in a patient with fever, productive cough, and lobar consolidation on chest X-ray?","The likely diagnosis in a patient with fever, productive cough, and lobar consolidation on X-ray is tuberculosis."
2026-03-19 19:34:31,quantized_gguf_model,gguf,qa_1,batch,1.6047,17,7.8936,,0.0,"What is the likely diagnosis in a patient with fever, productive cough, and lobar consolidation on chest X-ray?","The likely diagnosis in a patient with fever, productive cough, and lobar consolidation on X-ray is tuberculosis."
2026-03-19 19:34:31,quantized_gguf_model,gguf,reasoning_1,batch,1.6047,12,7.8936,,0.0,A patient has unilateral leg swelling after a long flight and suddenly develops neurological deficits. What cardiac find,The patient's neurological deficiits are most likely due to a cardiac finding.
2026-03-19 19:34:31,quantized_gguf_model,gguf,extraction_1,batch,1.6047,9,7.8936,,0.6,"Patient John Doe, age 56, has diabetes mellitus and hypertension and was prescribed metformin 500 mg.","The key entities are diabetes mellitus, hypertension, and metformin."
